Date,NDVI_FishIsland,NDVI_Footprint
1-Jan-08,,
2-Jan-08,,
3-Jan-08,,
4-Jan-08,,
5-Jan-08,,
6-Jan-08,,
7-Jan-08,,
8-Jan-08,,
9-Jan-08,,
10-Jan-08,,
11-Jan-08,,
12-Jan-08,,
13-Jan-08,,
14-Jan-08,,
15-Jan-08,,
16-Jan-08,,
17-Jan-08,,
18-Jan-08,,
19-Jan-08,,
20-Jan-08,,
21-Jan-08,,
22-Jan-08,,
23-Jan-08,,
24-Jan-08,,
25-Jan-08,,
26-Jan-08,,
27-Jan-08,,
28-Jan-08,,
29-Jan-08,,
30-Jan-08,,
31-Jan-08,,
1-Feb-08,,
2-Feb-08,,
3-Feb-08,,
4-Feb-08,,
5-Feb-08,,
6-Feb-08,,
7-Feb-08,,
8-Feb-08,,
9-Feb-08,,
10-Feb-08,,
11-Feb-08,,
12-Feb-08,,
13-Feb-08,,
14-Feb-08,,
15-Feb-08,,
16-Feb-08,,
17-Feb-08,,
18-Feb-08,,
19-Feb-08,,
20-Feb-08,,
21-Feb-08,-0.083,
22-Feb-08,-0.083,
23-Feb-08,-0.083,
24-Feb-08,-0.085,
25-Feb-08,-0.087,
26-Feb-08,-0.106,
27-Feb-08,-0.037,
28-Feb-08,-0.037,
29-Feb-08,-0.037,
1-Mar-08,-0.037,
2-Mar-08,-0.037,
3-Mar-08,-0.112,
4-Mar-08,-0.114,
5-Mar-08,-0.115,
6-Mar-08,-0.05,
7-Mar-08,-0.05,
8-Mar-08,-0.026,
9-Mar-08,-0.027,
10-Mar-08,-0.027,
11-Mar-08,-0.027,
12-Mar-08,-0.027,
13-Mar-08,-0.028,
14-Mar-08,,
15-Mar-08,,
16-Mar-08,,
17-Mar-08,-0.033,-0.035
18-Mar-08,-0.033,-0.035
19-Mar-08,-0.033,-0.035
20-Mar-08,-0.033,-0.035
21-Mar-08,-0.034,-0.035
22-Mar-08,-0.034,-0.035
23-Mar-08,-0.034,-0.034
24-Mar-08,-0.032,-0.035
25-Mar-08,-0.033,-0.035
26-Mar-08,-0.033,-0.035
27-Mar-08,-0.032,-0.034
28-Mar-08,-0.031,-0.034
29-Mar-08,-0.034,-0.037
30-Mar-08,-0.034,-0.037
31-Mar-08,-0.034,-0.037
1-Apr-08,-0.036,-0.038
2-Apr-08,-0.036,-0.038
3-Apr-08,-0.036,-0.038
4-Apr-08,-0.036,-0.038
5-Apr-08,-0.036,-0.038
6-Apr-08,-0.037,-0.038
7-Apr-08,-0.035,-0.038
8-Apr-08,-0.035,-0.038
9-Apr-08,-0.036,-0.039
10-Apr-08,-0.036,-0.039
11-Apr-08,-0.037,-0.038
12-Apr-08,-0.036,-0.039
13-Apr-08,-0.037,-0.037
14-Apr-08,-0.036,-0.036
15-Apr-08,-0.036,-0.036
16-Apr-08,-0.033,-0.033
17-Apr-08,-0.028,-0.029
18-Apr-08,-0.028,-0.029
19-Apr-08,-0.028,-0.029
20-Apr-08,-0.028,-0.029
21-Apr-08,-0.028,-0.029
22-Apr-08,-0.028,-0.029
23-Apr-08,-0.028,-0.029
24-Apr-08,-0.028,-0.029
25-Apr-08,-0.028,-0.029
26-Apr-08,-0.028,-0.029
27-Apr-08,-0.028,-0.029
28-Apr-08,-0.029,-0.029
29-Apr-08,-0.027,-0.032
30-Apr-08,-0.032,-0.032
1-May-08,-0.032,-0.032
2-May-08,-0.032,-0.034
3-May-08,-0.032,-0.034
4-May-08,-0.032,-0.034
5-May-08,-0.033,-0.034
6-May-08,-0.033,-0.034
7-May-08,-0.033,-0.036
8-May-08,-0.034,-0.037
9-May-08,-0.034,-0.037
10-May-08,-0.044,-0.044
11-May-08,-0.049,-0.053
12-May-08,-0.05,-0.054
13-May-08,-0.051,-0.055
14-May-08,-0.052,-0.056
15-May-08,-0.051,-0.057
16-May-08,-0.061,-0.055
17-May-08,-0.06,-0.053
18-May-08,-0.061,-0.054
19-May-08,-0.061,-0.053
20-May-08,-0.06,-0.054
21-May-08,-0.063,-0.054
22-May-08,-0.065,-0.054
23-May-08,-0.063,-0.052
24-May-08,-0.065,-0.079
25-May-08,-0.06,-0.079
26-May-08,-0.057,-0.047
27-May-08,-0.06,-0.04
28-May-08,-0.038,-0.009
29-May-08,-0.024,-0.008
30-May-08,-0.022,0.005
31-May-08,0.039,0.014
1-Jun-08,0.121,0.178
2-Jun-08,0.152,0.177
3-Jun-08,0.178,0.207
4-Jun-08,0.201,0.206
5-Jun-08,0.203,0.207
6-Jun-08,0.216,0.214
7-Jun-08,0.225,0.222
8-Jun-08,0.238,0.233
9-Jun-08,0.247,0.24
10-Jun-08,0.247,0.239
11-Jun-08,0.25,0.24
12-Jun-08,0.26,0.252
13-Jun-08,0.281,0.261
14-Jun-08,0.296,0.277
15-Jun-08,0.308,0.286
16-Jun-08,0.328,0.304
17-Jun-08,0.338,0.312
18-Jun-08,0.348,0.327
19-Jun-08,0.365,0.341
20-Jun-08,0.376,0.352
21-Jun-08,0.381,0.353
22-Jun-08,0.387,0.36
23-Jun-08,0.395,0.364
24-Jun-08,0.402,0.375
25-Jun-08,0.407,0.379
26-Jun-08,0.414,0.386
27-Jun-08,0.42,0.392
28-Jun-08,0.432,0.403
29-Jun-08,0.444,0.415
30-Jun-08,0.461,0.429
1-Jul-08,0.471,0.437
2-Jul-08,0.477,0.443
3-Jul-08,0.493,0.455
4-Jul-08,0.494,0.456
5-Jul-08,0.502,0.46
6-Jul-08,0.505,0.462
7-Jul-08,0.51,0.467
8-Jul-08,0.513,0.473
9-Jul-08,0.517,0.476
10-Jul-08,0.52,0.478
11-Jul-08,0.518,0.476
12-Jul-08,0.519,0.475
13-Jul-08,0.52,0.477
14-Jul-08,0.52,0.476
15-Jul-08,0.521,0.477
16-Jul-08,0.518,0.468
17-Jul-08,0.519,0.468
18-Jul-08,0.519,0.467
19-Jul-08,0.519,0.464
20-Jul-08,0.517,0.466
21-Jul-08,0.526,0.475
22-Jul-08,0.533,0.479
23-Jul-08,0.528,0.472
24-Jul-08,0.529,0.473
25-Jul-08,0.529,0.474
26-Jul-08,0.529,0.474
27-Jul-08,0.529,0.475
28-Jul-08,0.529,0.478
29-Jul-08,0.53,0.478
30-Jul-08,0.53,0.477
31-Jul-08,0.53,0.477
1-Aug-08,0.534,0.489
2-Aug-08,0.534,0.489
3-Aug-08,0.535,0.492
4-Aug-08,0.522,0.477
5-Aug-08,0.521,0.484
6-Aug-08,0.535,0.493
7-Aug-08,0.552,0.554
8-Aug-08,0.536,0.524
9-Aug-08,0.541,0.491
10-Aug-08,0.541,0.492
11-Aug-08,0.543,0.494
12-Aug-08,0.543,0.494
13-Aug-08,0.54,0.493
14-Aug-08,0.536,0.493
15-Aug-08,0.536,0.493
16-Aug-08,0.536,0.493
17-Aug-08,0.537,0.493
18-Aug-08,0.49,0.432
19-Aug-08,0.488,0.43
20-Aug-08,0.486,0.428
21-Aug-08,0.465,0.401
22-Aug-08,0.46,0.399
23-Aug-08,0.458,0.397
24-Aug-08,0.456,0.395
25-Aug-08,0.389,0.34
26-Aug-08,0.39,0.34
27-Aug-08,0.394,0.361
28-Aug-08,0.393,0.364
29-Aug-08,0.393,0.365
30-Aug-08,0.393,0.367
31-Aug-08,0.393,0.368
1-Sep-08,0.393,0.369
2-Sep-08,0.393,0.371
3-Sep-08,0.365,0.368
4-Sep-08,0.365,0.368
5-Sep-08,0.366,0.368
6-Sep-08,0.366,0.369
7-Sep-08,0.367,0.37
8-Sep-08,0.386,0.391
9-Sep-08,0.386,0.39
10-Sep-08,0.397,0.394
11-Sep-08,0.381,0.388
12-Sep-08,0.366,0.358
13-Sep-08,0.366,0.355
14-Sep-08,0.365,0.354
15-Sep-08,0.365,0.354
16-Sep-08,0.364,0.354
17-Sep-08,0.363,0.354
18-Sep-08,0.361,0.353
19-Sep-08,0.361,0.352
20-Sep-08,0.36,0.352
21-Sep-08,0.36,0.352
22-Sep-08,0.359,0.351
23-Sep-08,0.358,0.351
24-Sep-08,0.353,0.356
25-Sep-08,0.353,0.356
26-Sep-08,-0.026,-0.035
27-Sep-08,-0.038,-0.035
28-Sep-08,-0.04,-0.035
29-Sep-08,-0.044,-0.034
30-Sep-08,-0.044,-0.034
1-Oct-08,-0.043,-0.036
2-Oct-08,-0.044,-0.038
3-Oct-08,-0.043,-0.038
4-Oct-08,-0.048,-0.038
5-Oct-08,-0.048,-0.038
6-Oct-08,-0.044,-0.038
7-Oct-08,-0.044,-0.038
8-Oct-08,-0.045,-0.038
9-Oct-08,-0.044,-0.038
10-Oct-08,-0.044,-0.041
11-Oct-08,-0.042,-0.043
12-Oct-08,-0.041,-0.043
13-Oct-08,-0.038,-0.048
14-Oct-08,-0.038,-0.048
15-Oct-08,-0.042,-0.016
16-Oct-08,-0.042,-0.014
17-Oct-08,-0.042,-0.026
18-Oct-08,-0.037,0.006
19-Oct-08,-0.037,0.006
20-Oct-08,-0.062,-0.067
21-Oct-08,-0.061,-0.067
22-Oct-08,-0.061,-0.066
23-Oct-08,-0.06,-0.065
24-Oct-08,-0.06,-0.065
25-Oct-08,-0.059,-0.064
26-Oct-08,,
27-Oct-08,,
28-Oct-08,,
29-Oct-08,,
30-Oct-08,,
31-Oct-08,,
1-Nov-08,,
2-Nov-08,,
3-Nov-08,,
4-Nov-08,,
5-Nov-08,,
6-Nov-08,,
7-Nov-08,,
8-Nov-08,,
9-Nov-08,,
10-Nov-08,,
11-Nov-08,,
12-Nov-08,,
13-Nov-08,,
14-Nov-08,,
15-Nov-08,,
16-Nov-08,,
17-Nov-08,,
18-Nov-08,,
19-Nov-08,,
20-Nov-08,,
21-Nov-08,,
22-Nov-08,,
23-Nov-08,,
24-Nov-08,,
25-Nov-08,,
26-Nov-08,,
27-Nov-08,,
28-Nov-08,,
29-Nov-08,,
30-Nov-08,,
1-Dec-08,,
2-Dec-08,,
3-Dec-08,,
4-Dec-08,,
5-Dec-08,,
6-Dec-08,,
7-Dec-08,,
8-Dec-08,,
9-Dec-08,,
10-Dec-08,,
11-Dec-08,,
12-Dec-08,,
13-Dec-08,,
14-Dec-08,,
15-Dec-08,,
16-Dec-08,,
17-Dec-08,,
18-Dec-08,,
19-Dec-08,,
20-Dec-08,,
21-Dec-08,,
22-Dec-08,,
23-Dec-08,,
24-Dec-08,,
25-Dec-08,,
26-Dec-08,,
27-Dec-08,,
28-Dec-08,,
29-Dec-08,,
30-Dec-08,,
31-Dec-08,,
1-Jan-09,,
2-Jan-09,,
3-Jan-09,,
4-Jan-09,,
5-Jan-09,,
6-Jan-09,,
7-Jan-09,,
8-Jan-09,,
9-Jan-09,,
10-Jan-09,,
11-Jan-09,,
12-Jan-09,,
13-Jan-09,,
14-Jan-09,,
15-Jan-09,,
16-Jan-09,,
17-Jan-09,,
18-Jan-09,,
19-Jan-09,,
20-Jan-09,,
21-Jan-09,,
22-Jan-09,,
23-Jan-09,,
24-Jan-09,,
25-Jan-09,,
26-Jan-09,,
27-Jan-09,,
28-Jan-09,,
29-Jan-09,,
30-Jan-09,,
31-Jan-09,,
1-Feb-09,,
2-Feb-09,,
3-Feb-09,,
4-Feb-09,,
5-Feb-09,,
6-Feb-09,,
7-Feb-09,,
8-Feb-09,,
9-Feb-09,,
10-Feb-09,,
11-Feb-09,,
12-Feb-09,,
13-Feb-09,,
14-Feb-09,,
15-Feb-09,-0.077,
16-Feb-09,-0.078,
17-Feb-09,-0.045,-0.048
18-Feb-09,-0.045,-0.049
19-Feb-09,-0.046,-0.049
20-Feb-09,-0.046,-0.05
21-Feb-09,-0.048,-0.046
22-Feb-09,-0.044,-0.047
23-Feb-09,-0.044,-0.047
24-Feb-09,-0.044,-0.047
25-Feb-09,-0.043,-0.047
26-Feb-09,-0.043,-0.048
27-Feb-09,-0.044,-0.048
28-Feb-09,-0.044,-0.048
1-Mar-09,-0.041,-0.048
2-Mar-09,-0.042,-0.048
3-Mar-09,-0.043,-0.049
4-Mar-09,-0.044,-0.049
5-Mar-09,-0.059,
6-Mar-09,-0.059,
7-Mar-09,-0.059,
8-Mar-09,-0.06,
9-Mar-09,-0.076,
10-Mar-09,-0.048,-0.041
11-Mar-09,-0.048,-0.04
12-Mar-09,-0.049,-0.04
13-Mar-09,-0.049,-0.04
14-Mar-09,-0.049,-0.04
15-Mar-09,-0.05,-0.04
16-Mar-09,-0.05,-0.04
17-Mar-09,-0.05,-0.041
18-Mar-09,-0.05,-0.041
19-Mar-09,-0.046,-0.047
20-Mar-09,-0.047,-0.048
